日期,赛事名称,角色,作品,CV,得票数,角色（英）,自动晋级,头像
9.9-9.16,恒星组提名-女性组别,小鸟游六花,中二病也要谈恋爱！,内田真礼,-,Takanashi Rikka,True,https://pic1.imgdb.cn/item/67357455d29ded1a8c343203.png
9.9-9.16,恒星组提名-女性组别,樱岛麻衣,青春猪头少年,濑户麻沙美,-,Sakurajima Mai,True,https://pic1.imgdb.cn/item/673967ddd29ded1a8c4ad8fb.png
9.9-9.16,恒星组提名-女性组别,时崎狂三,约会大作战,真田麻美,-,Tokisaki Kurumi,True,https://pic1.imgdb.cn/item/67395e40d29ded1a8c440b34.png
9.9-9.16,恒星组提名-女性组别,中野三玖,五等分的新娘,伊藤美来,-,Nakano Miku,True,https://pic1.imgdb.cn/item/6739613ed29ded1a8c465c2c.png
9.9-9.16,恒星组提名-女性组别,锦木千束,莉可丽丝,安济知佳,-,Nishikigi Chisato,True,https://pic1.imgdb.cn/item/6742b0d888c538a9b5bb4231.png
9.9-9.16,恒星组提名-女性组别,椎名真白,樱花庄的宠物女孩,茅野爱衣,-,Shiina Mashiro,True,https://pic1.imgdb.cn/item/67396804d29ded1a8c4af1d3.png
9.9-9.16,恒星组提名-女性组别,友利奈绪,Charlotte,佐仓绫音,-,Tomori Nao,True,https://pic1.imgdb.cn/item/67396124d29ded1a8c46467d.png
9.9-9.16,恒星组提名-女性组别,秋山澪,轻音少女,日笠阳子,-,Akiyama Mio,True,https://pic1.imgdb.cn/item/673967f2d29ded1a8c4ae5a2.png
9.9-9.16,恒星组提名-女性组别,平泽唯,轻音少女,丰崎爱生,-,Hirasawa Yui,True,https://pic1.imgdb.cn/item/67395e01d29ded1a8c43d7cf.png
9.9-9.16,恒星组提名-女性组别,四宫辉夜,辉夜大小姐想让我告白～天才们的恋爱头脑战～,古贺葵,-,Shinomiya Kaguya,True,https://pic1.imgdb.cn/item/6739b53ed29ded1a8c8aae29.png
9.9-9.16,恒星组提名-女性组别,由比滨结衣,我的青春恋爱物语果然有问题。,东山奈央,-,Yuigahama Yui,True,https://pic1.imgdb.cn/item/673a94bdd29ded1a8c251eee.png
9.9-9.16,恒星组提名-女性组别,灰原哀,名侦探柯南,林原惠,-,Haibara Ai,True,https://pic1.imgdb.cn/item/6741a7eed29ded1a8cf033ab.png
9.9-9.16,恒星组提名-女性组别,后藤一里,孤独摇滚！,青山吉能,-,Gotō Hitori,True,https://pic1.imgdb.cn/item/67395de7d29ded1a8c43c21e.png
9.9-9.16,恒星组提名-女性组别,早坂爱,辉夜大小姐想让我告白～天才们的恋爱头脑战～,花守由美里,-,Hayasaka Ai,True,https://pic1.imgdb.cn/item/674186ddd29ded1a8cd2cf88.png
9.9-9.16,恒星组提名-女性组别,轻井泽惠,欢迎来到实力至上主义的教室,竹达彩奈,-,Karuizawa Kei,True,https://pic1.imgdb.cn/item/67413975d29ded1a8c828eb5.png
9.9-9.16,恒星组提名-女性组别,高木,擅长捉弄的高木同学,高桥李依,-,Takagi,True,https://pic1.imgdb.cn/item/67411d35d29ded1a8c6a5568.png
9.9-9.16,恒星组提名-女性组别,四糸乃,约会大作战,野水伊织,-,Yoshino,True,https://pic1.imgdb.cn/item/674126acd29ded1a8c70178e.png
9.9-9.16,恒星组提名-女性组别,灶门祢豆子,鬼灭之刃,鬼头明里,-,Kamado Nezuko,True,https://pic1.imgdb.cn/item/6741393ed29ded1a8c825d38.png
9.9-9.16,恒星组提名-女性组别,喜多郁代,孤独摇滚！,长谷川育美,-,Kita Ikuyo,True,https://pic1.imgdb.cn/item/6739682ad29ded1a8c4b0962.png
9.9-9.16,恒星组提名-女性组别,胡桃,莉可丽丝,久野美咲,-,Kurumi,True,https://pic1.imgdb.cn/item/674139c6d29ded1a8c82de81.png
9.9-9.16,恒星组提名-女性组别,黄前久美子,吹响！上低音号,黑泽朋世,511,?mae Kumiko,False,https://pic1.imgdb.cn/item/6739683bd29ded1a8c4b144a.png
9.9-9.16,恒星组提名-女性组别,芙拉蒂蕾娜·米利杰,86 -不存在的战区-,长谷川育美,475,Vladilena Milizé,False,https://pic1.imgdb.cn/item/67396158d29ded1a8c466c38.png
9.9-9.16,恒星组提名-女性组别,结城明日奈,刀剑神域,户松遥,373,Yūki Asuna,False,https://pic1.imgdb.cn/item/6739616cd29ded1a8c4679d2.png
9.9-9.16,恒星组提名-女性组别,牧濑红莉栖,命运石之门,今井麻美,369,Makise Kurisu,False,https://pic1.imgdb.cn/item/67395e28d29ded1a8c43f6d9.png
9.9-9.16,恒星组提名-女性组别,洛琪希·米格路迪亚,无职转生,小原好美,351,Roxy Migurdia,False,https://pic1.imgdb.cn/item/673be698d29ded1a8c2b0709.png
9.9-9.16,恒星组提名-女性组别,北白川玉子,玉子市场,洲崎绫,343,Kitashirakawa Tamako,False,https://pic1.imgdb.cn/item/67396817d29ded1a8c4afe96.png
9.9-9.16,恒星组提名-女性组别,白,NO GAME NO LIFE 游戏人生,茅野爱衣,342,Shiro,False,https://pic1.imgdb.cn/item/67396180d29ded1a8c468667.png
9.9-9.16,恒星组提名-女性组别,爱蜜莉雅,Re:从零开始的异世界生活,高桥李依,329,Emilia,False,https://pic1.imgdb.cn/item/67396195d29ded1a8c469653.png
9.9-9.16,恒星组提名-女性组别,艾拉,可塑性记忆,雨宫天,320,Isla,False,https://pic1.imgdb.cn/item/673961bad29ded1a8c46ac2a.png
9.9-9.16,恒星组提名-女性组别,惠惠,为美好的世界献上祝福！,高桥李依,320,Megumin,False,https://pic1.imgdb.cn/item/67404a34d29ded1a8cd26270.png
9.9-9.16,恒星组提名-女性组别,逢坂大河,龙与虎,钉宫理惠,317,Aisaka Taiga,False,https://pic1.imgdb.cn/item/6742aa2888c538a9b5bb4148.png
9.9-9.16,恒星组提名-女性组别,楪祈,罪恶王冠,茅野爱衣,316,Yuzuriha Inori,False,https://pic1.imgdb.cn/item/67409786d29ded1a8c162b2b.png
9.9-9.16,恒星组提名-女性组别,阿尔托莉雅·潘德拉贡,Fate系列,川澄绫子,312,Saber,False,https://pic1.imgdb.cn/item/6739c600d29ded1a8c978285.pngv
9.9-9.16,恒星组提名-女性组别,中野梓,轻音少女,竹达彩奈,305,Nakano Azusa,False,https://pic1.imgdb.cn/item/67395e7cd29ded1a8c443a4c.png
9.9-9.16,恒星组提名-女性组别,立华奏,Angel Beats！,花泽香菜,303,Tachibana Kanade,False,https://pic1.imgdb.cn/item/673abe88d29ded1a8c43e672.png
