日期,赛事名称,角色,IP,CV,得票数,角色（英）,是否晋级,头像,排名
01.28-02.03,新星组秋季赛提名-女性组别,鹿野千夏,青之箱,上田丽奈,84,Kano Chinatsu,True,,1
01.28-02.03,新星组秋季赛提名-女性组别,蝶野雏,青之箱,鬼头明里,78,Chōno Hina,True,,2
01.28-02.03,新星组秋季赛提名-女性组别,绫濑桃,胆大党,若山诗音,62,Ayase Momo,True,,3
01.28-02.03,新星组秋季赛提名-女性组别,夏目玲子,夏目友人帐,小林沙苗,58,Natsume Reiko,True,,4
01.28-02.03,新星组秋季赛提名-女性组别,多轨透,夏目友人帐,佐藤利奈,57,Taki Tōru,True,,5
01.28-02.03,新星组秋季赛提名-女性组别,甘神夜重‌,缘结甘神家,上坂堇,35,Amagami Yae,True,,6
01.28-02.03,新星组秋季赛提名-女性组别,涩谷香音,LoveLive!系列,伊达小百合,32,Shibuya Kanon,True,,7
01.28-02.03,新星组秋季赛提名-女性组别,津岛善子,LoveLive!系列,小林爱香,27,Tsushima Yoshiko,True,,8
01.28-02.03,新星组秋季赛提名-女性组别,噗妮露,噗妮露是可爱史莱姆,篠原侑,17,Puniru,True,,9
01.28-02.03,新星组秋季赛提名-女性组别,玛姬娜·索雷斯,魔王2099,伊藤美来,15,Machina Soleige,True,,10
01.28-02.03,新星组秋季赛提名-女性组别,和泉妃爱,常轨脱离Creative,户田惠,14,Izumi Hiyori,True,,11
01.28-02.03,新星组秋季赛提名-女性组别,甘神朝姬,缘结甘神家,若山诗音,13,Amagami Asahi,True,,12
01.28-02.03,新星组秋季赛提名-女性组别,甘神夕奈‌,缘结甘神家,本渡枫,13,Amagami Yuna,True,,13
01.28-02.03,新星组秋季赛提名-女性组别,本城寺莉香,听说你们要结婚！？,早见沙织,9,Honjōji Rika,True,,14
01.28-02.03,新星组秋季赛提名-女性组别,威廉姆斯·艾丽希亚,成为名垂青史的恶役千金吧,中村栞奈,9,Williams Alicia,True,,15
01.28-02.03,新星组秋季赛提名-女性组别,白鸟爱罗,胆大党,佐仓绫音,7,Shiratori Aira,True,,16
01.28-02.03,新星组秋季赛提名-女性组别,白石万理华,妻子变成小学生。,悠木碧,7,Shiraishi Marika,True,,17
01.28-02.03,新星组秋季赛提名-女性组别,天道茜,乱马½,日高范子,7,Tendō Akane,True,,18
01.28-02.03,新星组秋季赛提名-女性组别,雪,女仆冥土小姐。,上田丽奈,6,Yuki,True,,19
01.28-02.03,新星组秋季赛提名-女性组别,吉尔·萨维尔,重启人生的千金小姐正在攻略龙帝陛下,内田秀,5,Jill Cervel,True,,20
01.28-02.03,新星组秋季赛提名-女性组别,小比类卷香莲,刀剑神域,楠木灯,5,Kohiruimaki Karen(Llenn),True,,21
01.28-02.03,新星组秋季赛提名-女性组别,月,平凡职业成就世界最强,桑原由气,5,Yue,True,,22
01.28-02.03,新星组秋季赛提名-女性组别,碧翠丝,Re:从零开始的异世界生活,新井里美,5,Beatrice,True,,23
01.28-02.03,新星组秋季赛提名-女性组别,鲇川花,悲喜渔生,菲鲁兹·蓝,4,Ayukawa Hana,True,,24
01.28-02.03,新星组秋季赛提名-女性组别,伊达地图子,Acro Trip 顶尖恶路,伊藤美来,4,Date Chizuko,True,,25
01.28-02.03,新星组秋季赛提名-女性组别,樱木加奈,魔法光源股份有限公司,菲鲁兹·蓝,4,Sakuragi Kana,True,,26
01.28-02.03,新星组秋季赛提名-女性组别,约兰达,地。-关于地球的运动-,仁见纱绫,4,Jolenta,True,,27
01.28-02.03,新星组秋季赛提名-女性组别,绫濑美春,精灵幻想记,原田彩枫,4,Ayase Miharu,True,,28
01.28-02.03,新星组秋季赛提名-女性组别,瑟莉亚·库列尔,精灵幻想记,藤田茜,4,Celia Claire,True,,29
01.28-02.03,新星组秋季赛提名-女性组别,八寻宁宁,地缚少年花子君,鬼头明里,4,Yashiro Nene,True,,30
01.28-02.03,新星组秋季赛提名-女性组别,锦明日海,常轨脱离Creative,䌷雪乃,6,Nishiki Asumi,True,,31
01.28-02.03,新星组秋季赛提名-女性组别,岚千砂都,LoveLive!系列,岬奈子,11,Arashi Chisato,False,,32
01.28-02.03,新星组秋季赛提名-女性组别,薇恩·玛格丽特,LoveLive!系列,结那,8,Jibaku Shōnen Hanako-kun,False,,33
01.28-02.03,新星组秋季赛提名-女性组别,平安名堇,LoveLive!系列,Payton尚未,4,Hamidashi Creative,False,,34
