日期,赛事名称,角色,IP,CV,得票数,角色（英）,是否晋级,头像,排名
01.28-02.03,新星组秋季赛提名-男性组别,猪股大喜,青之箱,千叶翔也,83,Inomata Taiki,True,,1
01.28-02.03,新星组秋季赛提名-男性组别,高仓健,胆大党,花江夏树,57,Takakura Ken,True,,2
01.28-02.03,新星组秋季赛提名-男性组别,田沼要,夏目友人帐,堀江一真,57,Tanuma Kaname,True,,3
01.28-02.03,新星组秋季赛提名-男性组别,鸭乃桥论,鸭乃桥论的禁忌推理,阿座上洋平,26,Kamonohashi Ron,True,,4
01.28-02.03,新星组秋季赛提名-男性组别,藤丸立香,Fate系列,岛崎信长,16,Fujimaru Ritsuka,True,,5
01.28-02.03,新星组秋季赛提名-男性组别,早乙女乱马,乱马½,山口胜平,12,Saotome Ranma,True,,6
01.28-02.03,新星组秋季赛提名-男性组别,中野丸尾,五等分的新娘,黑田崇矢,10,Nakano Maruo,True,,7
01.28-02.03,新星组秋季赛提名-男性组别,多兰,再见龙生，你好人生,武内骏辅,9,Dolan,True,,8
01.28-02.03,新星组秋季赛提名-男性组别,佐佐木常宏,悲喜渔生,岩中睦树,9,Sasaki Tsunehiro,True,,9
01.28-02.03,新星组秋季赛提名-男性组别,拉法尔,地。-关于地球的运动-,坂本真绫,7,Rafal,True,,10
01.28-02.03,新星组秋季赛提名-男性组别,圆城寺仁,胆大党,石川界人,7,Enjōji Jin,True,,11
01.28-02.03,新星组秋季赛提名-男性组别,大原拓也,听说你们要结婚！？,熊谷健太郎,6,Ōhara Takuya,True,,12
01.28-02.03,新星组秋季赛提名-男性组别,贝尔多尔·贝尔别特·贝尔休伯特,魔王2099,日野聪,6,Veltol Velvet Velsvalt,True,,13
01.28-02.03,新星组秋季赛提名-男性组别,上终瓜生,缘结甘神家,铃木崚汰,5,Kamihate Uryū,True,,14
01.28-02.03,新星组秋季赛提名-男性组别,贝尔·克朗尼,在地下城寻求邂逅是否搞错了什么,松冈祯丞,4,Bell Cranel,True,,15
01.28-02.03,新星组秋季赛提名-男性组别,踯躅森贵明,悲喜渔生,石川界人,3,Tsutsujimori Takaaki,True,,16
01.28-02.03,新星组秋季赛提名-男性组别,花散仁央,青之壬生浪,梅田修一朗,3,Chirinu Nio,True,,17
01.28-02.03,新星组秋季赛提名-男性组别,哈迪斯·迪奥斯·拉维,重启人生的千金小姐正在攻略龙帝陛下,户谷菊之介,3,Hadis Teos Rave,True,,18
01.28-02.03,新星组秋季赛提名-男性组别,河合井小太郎,噗妮露是可爱史莱姆,梅田修一朗,3,Kawaii Kotarō,True,,19
01.28-02.03,新星组秋季赛提名-男性组别,克莱·安东黎希,叹气的亡灵想隐退,小野贤章,3,Krai Andrey,True,,20
01.28-02.03,新星组秋季赛提名-男性组别,新岛圭介,妻子变成小学生。,平川大辅,3,Niijima Keisuke,True,,21
01.28-02.03,新星组秋季赛提名-男性组别,南云始,平凡职业成就世界最强,深町寿成,3,Nagumo Hajime,True,,22
01.28-02.03,新星组秋季赛提名-男性组别,天束光,机械手臂,丰永利行,2,Amatsuga Hikaru,True,,23
01.28-02.03,新星组秋季赛提名-男性组别,库洛马,Acro Trip 顶尖恶路,岛崎信长,2,Chrome,True,,24
01.28-02.03,新星组秋季赛提名-男性组别,遥,孤单一人的异世界攻略,梅田修一朗,2,Haruka,True,,25
01.28-02.03,新星组秋季赛提名-男性组别,阳务乐郎,香格里拉边境～粪作猎人向神作游戏发起挑战～,内田雄马,2,Hizutome Rakurō,True,,26
01.28-02.03,新星组秋季赛提名-男性组别,五十岚一贺,喂！蜻蜓,东地宏树,2,Igarashi Kazuyoshi,True,,27
01.28-02.03,新星组秋季赛提名-男性组别,雷格西,BEASTARS,小林亲弘,2,Legoshi,True,,28
01.28-02.03,新星组秋季赛提名-男性组别,奥托·苏文,Re:从零开始的异世界生活,天崎滉平,2,Otto Suwen,True,,29
01.28-02.03,新星组秋季赛提名-男性组别,利欧,精灵幻想记,松冈祯丞,2,Rio,True,,30
01.28-02.03,新星组秋季赛提名-男性组别,重本浩司,魔法光源股份有限公司,小山力也,2,Shigemoto Kōji,True,,31
01.28-02.03,新星组秋季赛提名-男性组别,常盘,去参加联谊，却发现完全没有女生在场,武内骏辅,2,Tokiwa,True,,32
