日期,赛事名称,角色,IP,CV,得票数,角色（英）,是否晋级,头像,排名
01.14-01.21,新星组春季赛提名-女性组别,井芹仁菜,GIRLS BAND CRY,理名,112,Iseri Nina,True,,1
01.14-01.21,新星组春季赛提名-女性组别,安和昴,GIRLS BAND CRY,美怜,106,Awa Subaru,True,,2
01.14-01.21,新星组春季赛提名-女性组别,河原木桃香,GIRLS BAND CRY,夕莉,98,Kawaragi Momoka,True,,3
01.14-01.21,新星组春季赛提名-女性组别,光月真昼,夜晚的水母不会游泳,伊藤美来,75,Kōzuki Mahiru,True,,4
01.14-01.21,新星组春季赛提名-女性组别,山之内花音,夜晚的水母不会游泳,高桥李依,60,Yamanouchi Kano,True,,5
01.14-01.21,新星组春季赛提名-女性组别,木野日鞠,恋语轻唱,岛野花,49,Kino Himari,True,,6
01.14-01.21,新星组春季赛提名-女性组别,朝凪依,恋语轻唱,濑户麻沙美,48,Asanagi Yori,True,,7
01.14-01.21,新星组春季赛提名-女性组别,泉志帆,恋语轻唱,根本优奈,48,Izumi Shiho,True,,8
01.14-01.21,新星组春季赛提名-女性组别,芬里丝,从Lv2开始开外挂的前勇者候补过着悠哉异世界生活,钉宫理惠,41,Fenrys,True,,9
01.14-01.21,新星组春季赛提名-女性组别,上原步梦,LoveLive!系列,大西亚玖璃,26,Uehara Ayumu,True,,10
01.14-01.21,新星组春季赛提名-女性组别,赫萝,狼与香辛料,小清水亚美,24,Holo,True,,11
01.14-01.21,新星组春季赛提名-女性组别,钟岚珠,LoveLive!系列,法元明菜,22,Zhong Lanzhu,True,,12
01.14-01.21,新星组春季赛提名-女性组别,莎拉·达·奥丁,怪人的沙拉碗,矢野妃菜喜,21,Sara Da Odin,True,,13
01.14-01.21,新星组春季赛提名-女性组别,夜樱六美,夜樱家的大作战,本渡枫,15,Yozakura Mutsumi,True,,14
01.14-01.21,新星组春季赛提名-女性组别,渡边千佳,声优广播的幕前幕后,丰田萌绘,12,Watanabe Chika,True,,15
01.14-01.21,新星组春季赛提名-女性组别,志摩凛,摇曳露营△,东山奈央,12,Shima Rin,True,,16
01.14-01.21,新星组春季赛提名-女性组别,斋藤依音,老夫老妻重返青春,能登麻美子,11,Saitō Ine,True,,17
01.14-01.21,新星组春季赛提名-女性组别,小鸟游星野,蔚蓝档案,花守由美里,10,Takanashi Hoshino,True,,18
01.14-01.21,新星组春季赛提名-女性组别,飞羽,单人房、日照一般、附天使。,远野光,9,Towa,True,,19
01.14-01.21,新星组春季赛提名-女性组别,中川夏纪,吹响！上低音号,藤村鼓乃美,9,Nakagawa Natsuki,True,,20
01.14-01.21,新星组春季赛提名-女性组别,阿库娅,为美好的世界献上祝福！,雨宫天,9,Aqua,True,https://pic1.imgdb.cn/item/674138f4d29ded1a8c82126e.png,21
01.14-01.21,新星组春季赛提名-女性组别,崇宫澪,约会大作战,远藤绫,8,Takamiya Mio,True,,22
01.14-01.21,新星组春季赛提名-女性组别,东云晶,末班列车去哪里？,木野日菜,7,Shinonome Akira,True,,23
01.14-01.21,新星组春季赛提名-女性组别,千仓静留,末班列车去哪里？,安济知佳,7,Shizuru Chikura,True,,24
01.14-01.21,新星组春季赛提名-女性组别,涅菲莉亚,身为魔王的我娶了奴隶精灵为妻，该如何表白我的爱？,市之濑加那,7,Neferia,True,,25
01.14-01.21,新星组春季赛提名-女性组别,佐藤由美子,声优广播的幕前幕后,伊藤美来,11,Satō Yumiko,True,,26
01.14-01.21,新星组春季赛提名-女性组别,砂狼白子,蔚蓝档案,小仓唯,9,Sunaōkami Shiroko,True,,27
01.14-01.21,新星组春季赛提名-女性组别,爱丽丝,为美好的世界献上祝福！,高尾奏音,8,Iris,True,,28
01.14-01.21,新星组春季赛提名-女性组别,黑江真由,吹响！上低音号,户松遥,8,Kuroe Mayu,True,,29
01.14-01.21,新星组春季赛提名-女性组别,各务原抚子,摇曳露营△,花守由美里,8,Kagamihara Nadeshiko,True,,30
01.14-01.21,新星组春季赛提名-女性组别,中须霞,LoveLive!系列,相良茉优,20,Nakasu Kasumi,False,,31
01.14-01.21,新星组春季赛提名-女性组别,海老冢智,GIRLS BAND CRY,凪都,12,Ebizuka Tomo,False,,32
