日期,赛事名称,角色,IP,CV,得票数,角色（英）,是否晋级,头像,排名
01.14-01.21,新星组春季赛提名-男性组别,夏尔·凡多姆海恩,黑执事,坂本真绫,69,Ciel Phantomhive,True,,1
01.14-01.21,新星组春季赛提名-男性组别,塞巴斯蒂安·米卡利斯,黑执事,小野大辅,67,Sebastian Michaelis,True,,2
01.14-01.21,新星组春季赛提名-男性组别,费里欧,从Lv2开始开外挂的前勇者候补过着悠哉异世界生活,日野聪,53,Flio,True,,3
01.14-01.21,新星组春季赛提名-男性组别,克拉福·罗伦斯,狼与香辛料,福山润,18,Kraft Lawrence,True,,4
01.14-01.21,新星组春季赛提名-男性组别,斋藤正藏,老夫老妻重返青春,三木真一郎,16,Saitō Shōzō,True,,5
01.14-01.21,新星组春季赛提名-男性组别,朝野太阳,夜樱家的大作战,川岛零士,14,Asano Taiyō,True,,6
01.14-01.21,新星组春季赛提名-男性组别,洛伊德·迪·沙鲁姆,转生七王子的魔法全解,小市真琴,12,Lloyd Saloum,True,,7
01.14-01.21,新星组春季赛提名-男性组别,清峰叶流火,失忆投捕,增田俊树,11,Kiyomine Haruka,True,,8
01.14-01.21,新星组春季赛提名-男性组别,要圭,失忆投捕,宫野真守,10,Kaname Kei,True,,9
01.14-01.21,新星组春季赛提名-男性组别,老师,蔚蓝档案,坂田将吾,9,Sensei,True,,10
01.14-01.21,新星组春季赛提名-男性组别,镝矢惣助,怪人的沙拉碗,古川慎,8,Kaburaya Sōsuke,True,,11
01.14-01.21,新星组春季赛提名-男性组别,斋藤治,雀魂麻将,安元洋贵,8,Saitō Osamu,True,,11
01.14-01.21,新星组春季赛提名-男性组别,樱遥,WIND BREAKER 防风铃,内田雄马,7,Sakura Haruka,True,,13
01.14-01.21,新星组春季赛提名-男性组别,少爷,死神少爷与黑女仆,花江夏树,7,Bocchan,True,,13
01.14-01.21,新星组春季赛提名-男性组别,日比野卡夫卡,怪兽8号,福西胜也,5,Hibino Kafuka,True,,15
01.14-01.21,新星组春季赛提名-男性组别,萨冈,身为魔王的我娶了奴隶精灵为妻，该如何表白我的爱？,小林裕介,5,Zagan,True,,15
01.14-01.21,新星组春季赛提名-男性组别,斐伊·提欧·菲尔斯,渴求游戏之神,岛崎信长,4,Fay Theo Philus,True,,17
01.14-01.21,新星组春季赛提名-男性组别,保罗·格雷拉特,无职转生,森川智之,4,Paul Greyrat,True,,17
01.14-01.21,新星组春季赛提名-男性组别,阿诺斯·波鲁迪戈乌多,魔王学院的不适任者,梅原裕一郎,4,Anos Voldigoad,True,,17
01.14-01.21,新星组春季赛提名-男性组别,花野井飒生,花野井同学和相思病,小林千晃,3,Hananoi Saki,True,,20
01.14-01.21,新星组春季赛提名-男性组别,奥斯卡,Unnamed Memory,中岛良树,3,Oscar,True,,20
01.14-01.21,新星组春季赛提名-男性组别,佐佐仓溜,调酒师,寺岛拓笃,3,Sasakura Ryū,True,,20
01.14-01.21,新星组春季赛提名-男性组别,嘴平伊之助,鬼灭之刃,松冈祯丞,3,Hashibira Inosuke,True,,20
01.14-01.21,新星组春季赛提名-男性组别,司波达也,魔法科高中的劣等生,中村悠一,3,Shiba Tatsuya,True,,20
01.14-01.21,新星组春季赛提名-男性组别,千早瞬平,失忆投捕,岛崎信长,3,Chihaya Shunpei,False,,25
