日期,赛事名称,角色,IP,CV,得票数,角色（英）,是否晋级,头像,排名
01.21-01.28,新星组夏季赛提名-女性组别,八奈见杏菜,败犬女主太多了！,远野光,457,Yanami Anna,True,,1
01.21-01.28,新星组夏季赛提名-女性组别,亚托莉,ATRI -My Dear Moments-,赤尾光,442,Atri,True,,2
01.21-01.28,新星组夏季赛提名-女性组别,绫濑沙季,义妹生活,中岛由贵,408,Ayase Saki,True,,3
01.21-01.28,新星组夏季赛提名-女性组别,小鞠知花,败犬女主太多了！,寺泽百花,370,Komari Chika,True,,4
01.21-01.28,新星组夏季赛提名-女性组别,玛利亚·米哈伊罗夫纳·九条,不时轻声地以俄语遮羞的邻座艾莉同学,藤井幸代,253,Maria Mikhailovna Kujō,True,,5
01.21-01.28,新星组夏季赛提名-女性组别,七仓凛,疑似后宫,早见沙织,232,Nanakura Rin,True,,6
01.21-01.28,新星组夏季赛提名-女性组别,周防有希,不时轻声地以俄语遮羞的邻座艾莉同学,丸冈和佳奈,222,Suō Yuki,True,,7
01.21-01.28,新星组夏季赛提名-女性组别,艾莉莎·米哈伊罗夫纳·九条,不时轻声地以俄语遮羞的邻座艾莉同学,上坂堇,145,Alisa Mikhailovna Kujō,True,,8
01.21-01.28,新星组夏季赛提名-女性组别,神白水菜萌,ATRI -My Dear Moments-,高桥未奈美,97,Kamishiro Minamo,True,,9
01.21-01.28,新星组夏季赛提名-女性组别,鹿乃子乃子,鹿乃子乃子乃子虎视眈眈,潘惠美,41,Shikanoko Noko,True,,10
01.21-01.28,新星组夏季赛提名-女性组别,虎视虎子,鹿乃子乃子乃子虎视眈眈,藤田咲,37,Koshi Torako,True,,11
01.21-01.28,新星组夏季赛提名-女性组别,小佐内由纪,小市民系列,羊宫妃那,32,Osanai Yuki,True,,12
01.21-01.28,新星组夏季赛提名-女性组别,橘美花莉,2.5次元的诱惑,鬼头明里,30,Tachibana Mikari,True,,13
01.21-01.28,新星组夏季赛提名-女性组别,读卖栞,义妹生活,铃木实里,30,Yomiuri Shiori,True,,13
01.21-01.28,新星组夏季赛提名-女性组别,苍井咲,前辈是男孩子,关根明良,24,Aoi Saki,True,,15
01.21-01.28,新星组夏季赛提名-女性组别,深森白夜,魔法少女与邪恶曾经敌对。,中原麻衣,24,Mimori Byakuya,True,,15
01.21-01.28,新星组夏季赛提名-女性组别,藤野步,蓦然回首,河合优实,22,Fujino Ayumu,True,,17
01.21-01.28,新星组夏季赛提名-女性组别,心音淡雪,身为VTuber的我因为忘记关台而成了传说,佐仓绫音,20,Kokorone Awayuki,True,,18
01.21-01.28,新星组夏季赛提名-女性组别,园上真咲,深夜Punch,长谷川育美,17,Sonōe Masaki,True,,19
01.21-01.28,新星组夏季赛提名-女性组别,雫,擅长逃跑的殿下,高木遥香,12,Shizuku,True,,20
01.21-01.28,新星组夏季赛提名-女性组别,柯蕾特·卢瓦尔,杖与剑的魔剑谭,天野聪美,11,Colette Loire,True,,21
01.21-01.28,新星组夏季赛提名-女性组别,忍野忍,物语系列,坂本真绫,11,Oshino Shinobu,True,,21
01.21-01.28,新星组夏季赛提名-女性组别,哈莉·奎茵,异世界自杀小队,永濑安奈,10,Harley Quinn,True,,23
01.21-01.28,新星组夏季赛提名-女性组别,贝尔,地下城里的人们,铃代纱弓,5,Belle,True,,24
01.21-01.28,新星组夏季赛提名-女性组别,美空彼方,亦叶亦花,中川梨花,5,Misora Kanata,True,,24
01.21-01.28,新星组夏季赛提名-女性组别,MEM啾,【我推的孩子】,大久保瑠美,5,Mem-cho,True,,24
01.21-01.28,新星组夏季赛提名-女性组别,温水佳树,败犬女主太多了！,田中美海,98,Nukumizu Kaju,False,,27
01.21-01.28,新星组夏季赛提名-女性组别,天乃莉莉纱,2.5次元的诱惑,前田佳织里,22,Amano Ririsa,False,,28
01.21-01.28,新星组夏季赛提名-女性组别,京本,蓦然回首,吉田美月喜,17,Kyōmoto,False,,29
01.21-01.28,新星组夏季赛提名-女性组别,烧盐柠檬,败犬女主太多了！,若山诗音,15,Yakishio Lemon,False,,30
01.21-01.28,新星组夏季赛提名-女性组别,马剃天爱星,败犬女主太多了！,诸星堇,12,Basori Tiara,False,,31
01.21-01.28,新星组夏季赛提名-女性组别,虎视馅子,鹿乃子乃子乃子虎视眈眈,田边留依,10,Koshi Anko,False,,32
