日期,赛事名称,角色,IP,CV,得票数,角色（英）,是否晋级,头像,排名
01.07-01.14,新星组冬季赛提名-女性组别,柊舞缇娜,憧憬成为魔法少女,和泉风花,31,Hiiragi Utena,True,,1
01.07-01.14,新星组冬季赛提名-女性组别,玛露西尔,迷宫饭,千本木彩花,21,Marcille Donato,True,,2
01.07-01.14,新星组冬季赛提名-女性组别,阿良河基维,憧憬成为魔法少女,古贺葵,18,Araga Kiwi,True,,3
01.07-01.14,新星组冬季赛提名-女性组别,糸濑雪,指尖相触，恋恋不舍,诸星堇,14,Itose Yuki,True,,4
01.07-01.14,新星组冬季赛提名-女性组别,莉雪·伊路姆加德·维尔兹纳,轮回七次的恶役千金，在前敌国享受随心所欲的新婚生活,长谷川育美,13,Rishe Irmgard Weitzner,True,,5
01.07-01.14,新星组冬季赛提名-女性组别,天音莉莉,愚蠢天使与恶魔共舞,佐仓绫音,12,Amane Lily,True,,6
01.07-01.14,新星组冬季赛提名-女性组别,一之濑帆波,欢迎来到实力至上主义的教室,东山奈央,11,Ichinose Honami,True,,7
01.07-01.14,新星组冬季赛提名-女性组别,公主,公主大人，接下来是“拷问”时间,白石晴香,10,Hime,True,,8
01.07-01.14,新星组冬季赛提名-女性组别,尤贝尔,葬送的芙莉莲,长谷川育美,9,Übel,True,,9
01.07-01.14,新星组冬季赛提名-女性组别,羽前京香,魔都精兵的奴隶,鬼头明里,9,Uzen Kyōka,True,,9
01.07-01.14,新星组冬季赛提名-女性组别,艾维,最弱的驯养师开启的捡垃圾的旅途。,铃木爱奈,8,Ivy,True,,11
01.07-01.14,新星组冬季赛提名-女性组别,冬木美波,北海道辣妹贼拉可爱,佐仓绫音,8,Fuyuki Minami,True,,11
01.07-01.14,新星组冬季赛提名-女性组别,露琼·雷德斯塔,金属口红,宫本侑芽,8,Rouge Redstar,True,,11
01.07-01.14,新星组冬季赛提名-女性组别,椎名日和,欢迎来到实力至上主义的教室,高桥李依,8,Shiina Hiyori,True,,11
01.07-01.14,新星组冬季赛提名-女性组别,邻居妹妹,佐佐木与文鸟小哔,鬼头明里,7,Otonari-san,True,,15
01.07-01.14,新星组冬季赛提名-女性组别,菊池风香,弱势角色友崎君,茅野爱衣,7,Kikuchi Fūka,True,,15
01.07-01.14,新星组冬季赛提名-女性组别,尤蜜拉·多克尼斯,反派千金等级99～我是隐藏头目但不是魔王～,菲鲁兹·蓝,6,Yumiella Dolkness,True,,17
01.07-01.14,新星组冬季赛提名-女性组别,关根萌子,我心里危险的东西,潘惠美,5,Sekine Moeko,True,,18
01.07-01.14,新星组冬季赛提名-女性组别,向坂雫,我独自升级,上田丽奈,5,Cha Hae-in,True,,18
01.07-01.14,新星组冬季赛提名-女性组别,露缇,因为不是真正的伙伴而被逐出勇者队伍，流落到边境展开慢活人生,大空直美,5,Ruti,True,,18
01.07-01.14,新星组冬季赛提名-女性组别,犬饲小麦,美妙宠物 光之美少女！,长绳麻理亚,4,Inukai Komugi,True,,21
01.07-01.14,新星组冬季赛提名-女性组别,拉姆,福星小子,上坂堇,3,Lum,True,,22
01.07-01.14,新星组冬季赛提名-女性组别,澪,月光下的异世界之旅,鬼头明里,3,Mio,True,,22
01.07-01.14,新星组冬季赛提名-女性组别,雷蒙·厄文,物理魔法使马修,上田丽奈,3,Lemon Irvine,True,,22
01.07-01.14,新星组冬季赛提名-女性组别,玉,战国妖狐,高田忧希,3,Tama,True,,22
01.07-01.14,新星组冬季赛提名-女性组别,克莉丝朵·诺巴提·诺卡那堤卡,婚戒物语,鬼头明里,3,Krystal Novaty Nokanatika,True,,22
01.07-01.14,新星组冬季赛提名-女性组别,花菱春香,憧憬成为魔法少女,前田佳织里,9,Hanabishi Haruka,False,,27
01.07-01.14,新星组冬季赛提名-女性组别,水神小夜,憧憬成为魔法少女,风间万裕子,9,Minakami Sayo,False,,27
01.07-01.14,新星组冬季赛提名-女性组别,坂柳有栖,欢迎来到实力至上主义的教室,日高里菜,7,Sakayanagi Arisu,False,,29
01.07-01.14,新星组冬季赛提名-女性组别,杜乃可莉丝,憧憬成为魔法少女,杉浦刊,7,Morino Korisu,False,,29
01.07-01.14,新星组冬季赛提名-女性组别,赞泽,葬送的芙莉莲,照井春佳,5,Sense,False,,31
01.07-01.14,新星组冬季赛提名-女性组别,法琳,迷宫饭,早见沙织,5,Falin Touden,False,,31
01.07-01.14,新星组冬季赛提名-女性组别,日南葵,弱势角色友崎君,金元寿子,5,Hinami Aoi,False,,31
01.07-01.14,新星组冬季赛提名-女性组别,七海深奈实,弱势角色友崎君,长谷川育美,5,Nanami Minami,False,,31
01.07-01.14,新星组冬季赛提名-女性组别,秋野沙友理,北海道辣妹贼拉可爱,花守由美里,3,Akino Sayuri,False,,35
01.07-01.14,新星组冬季赛提名-女性组别,堀北铃音,欢迎来到实力至上主义的教室,鬼头明里,3,Horikita Suzune,False,https://pic1.imgdb.cn/item/673e9378d29ded1a8c7d417b.png,35
01.07-01.14,新星组冬季赛提名-女性组别,阿古屋真珠,憧憬成为魔法少女,相坂优歌,3,Akoya Matama,False,,35
