日期,赛事名称,角色,IP,CV,得票数,角色（英）,是否晋级,头像,排名
01.07-01.14,新星组冬季赛提名-男性组别,莱欧斯,迷宫饭,熊谷健太郎,19,Laios Touden,True,,1
01.07-01.14,新星组冬季赛提名-男性组别,水篠旬,我独自升级,坂泰斗,13,Sung Jin-woo,True,,2
01.07-01.14,新星组冬季赛提名-男性组别,马修·班迪德,物理魔法使马修,小林千晃,12,Mash Burnedead,True,,3
01.07-01.14,新星组冬季赛提名-男性组别,阿诺德·海因,轮回七次的恶役千金，在前敌国享受随心所欲的新婚生活,岛崎信长,12,Arnold Hein,True,,3
01.07-01.14,新星组冬季赛提名-男性组别,阿久津雅虎,愚蠢天使与恶魔共舞,内田雄马,11,Akutsu Masatora,True,,5
01.07-01.14,新星组冬季赛提名-男性组别,友崎文也,弱势角色友崎君,佐藤元,10,Tomozaki Fumiya,True,,6
01.07-01.14,新星组冬季赛提名-男性组别,波岐逸臣,指尖相触，恋恋不舍,宫崎游,9,Nagi Itsuomi,True,,7
01.07-01.14,新星组冬季赛提名-男性组别,佐佐木,佐佐木与文鸟小哔,杉田智和,8,Sasaki,True,,8
01.07-01.14,新星组冬季赛提名-男性组别,齐尔查克,迷宫饭,泊明日菜,5,Chilchuck Tims,True,,9
01.07-01.14,新星组冬季赛提名-男性组别,兔里健,治愈魔法的错误使用法～奔赴战场的回复要员～,坂田将吾,5,Usato Ken,True,,9
01.07-01.14,新星组冬季赛提名-男性组别,山户迅火,战国妖狐,齐藤壮马,5,Jinka,True,,9
01.07-01.14,新星组冬季赛提名-男性组别,兰托,葬送的芙莉莲,小松昌平,4,Land,True,,12
01.07-01.14,新星组冬季赛提名-男性组别,嬴政,王者天下,福山润,4,Ying Zheng,True,,12
01.07-01.14,新星组冬季赛提名-男性组别,坏人先生,休假日的坏人先生,浅沼晋太郎,4,Warumono-san,True,,12
01.07-01.14,新星组冬季赛提名-男性组别,四季翼,北海道辣妹贼拉可爱,岛崎信长,4,Shiki Tsubasa,True,,12
01.07-01.14,新星组冬季赛提名-男性组别,和仓优希,魔都精兵的奴隶,广濑裕也,4,Wakura Yūki,True,,12
01.07-01.14,新星组冬季赛提名-男性组别,高远夜雾,秒杀外挂太强了，异世界的家伙们根本就不是对手。,内山昂辉,4,Takatō Yogiri,True,,12
01.07-01.14,新星组冬季赛提名-男性组别,深澄真,月光下的异世界之旅,花江夏树,3,Misumi Makoto,True,,18
01.07-01.14,新星组冬季赛提名-男性组别,安迪,不死不幸,中村悠一,3,Andy,True,,18
01.07-01.14,新星组冬季赛提名-男性组别,路易斯·史密斯,勇气爆发BANG BRAVERN,阿座上洋平,3,Lewis Smith,True,,18
01.07-01.14,新星组冬季赛提名-男性组别,雷特·费纳,事与愿违的不死冒险者,铃木崚汰,3,Rentt Faina,True,,18
01.07-01.14,新星组冬季赛提名-男性组别,派翠克·阿修巴顿,反派千金等级99～我是隐藏头目但不是魔王～,内田雄马,3,Patrick Ashbatten,True,,18
01.07-01.14,新星组冬季赛提名-男性组别,柳之剑宗次朗,异修罗,梶裕贵,3,Yanagi no Tsurugi no Sōjirō,True,,18
01.07-01.14,新星组冬季赛提名-男性组别,雷德,因为不是真正的伙伴而被逐出勇者队伍，流落到边境展开慢活人生,铃木崚汰,3,Red,True,,18
01.07-01.14,新星组冬季赛提名-男性组别,兵头真介,战国妖狐,木村良平,3,Shinsuke,False,,25
