日期,赛事名称,角色,IP,CV,得票数,角色（英）,自动晋级,头像
12.31-01.07,恒星组提名-女性组别,后藤一里,孤独摇滚！,青山吉能,-,Gotō Hitori,True,https://pic1.imgdb.cn/item/67395de7d29ded1a8c43c21e.png
12.31-01.07,恒星组提名-女性组别,中野梓,轻音少女,竹达彩奈,-,Nakano Azusa,True,https://pic1.imgdb.cn/item/67395e7cd29ded1a8c443a4c.png
12.31-01.07,恒星组提名-女性组别,结城明日奈,刀剑神域,户松遥,-,Yūki Asuna,True,https://pic1.imgdb.cn/item/6739616cd29ded1a8c4679d2.png
12.31-01.07,恒星组提名-女性组别,平泽唯,轻音少女,丰崎爱生,-,Hirasawa Yui,True,https://pic1.imgdb.cn/item/67395e01d29ded1a8c43d7cf.png
12.31-01.07,恒星组提名-女性组别,樱岛麻衣,青春猪头少年,濑户麻沙美,-,Sakurajima Mai,True,https://pic1.imgdb.cn/item/673967ddd29ded1a8c4ad8fb.png
12.31-01.07,恒星组提名-女性组别,白,NO GAME NO LIFE 游戏人生,茅野爱衣,-,Shiro,True,https://pic1.imgdb.cn/item/67396180d29ded1a8c468667.png
12.31-01.07,恒星组提名-女性组别,友利奈绪,Charlotte,佐仓绫音,-,Tomori Nao,True,https://pic1.imgdb.cn/item/67396124d29ded1a8c46467d.png
12.31-01.07,恒星组提名-女性组别,秋山澪,轻音少女,日笠阳子,-,Akiyama Mio,True,https://pic1.imgdb.cn/item/673967f2d29ded1a8c4ae5a2.png
12.31-01.07,恒星组提名-女性组别,小鸟游六花,中二病也要谈恋爱！,内田真礼,-,Takanashi Rikka,True,https://pic1.imgdb.cn/item/67357455d29ded1a8c343203.png
12.31-01.07,恒星组提名-女性组别,喜多郁代,孤独摇滚！,长谷川育美,-,Kita Ikuyo,True,https://pic1.imgdb.cn/item/6739682ad29ded1a8c4b0962.png
12.31-01.07,恒星组提名-女性组别,北白川玉子,玉子市场,洲崎绫,-,Kitashirakawa Tamako,True,https://pic1.imgdb.cn/item/67396817d29ded1a8c4afe96.png
12.31-01.07,恒星组提名-女性组别,爱蜜莉雅,Re:从零开始的异世界生活,高桥李依,-,Emilia,True,https://pic1.imgdb.cn/item/67396195d29ded1a8c469653.png
12.31-01.07,恒星组提名-女性组别,椎名真白,樱花庄的宠物女孩,茅野爱衣,-,Shiina Mashiro,True,https://pic1.imgdb.cn/item/67396804d29ded1a8c4af1d3.png
12.31-01.07,恒星组提名-女性组别,芙拉蒂蕾娜·米利杰,86 -不存在的战区-,长谷川育美,-,Vladilena Milizé,True,https://pic1.imgdb.cn/item/67396158d29ded1a8c466c38.png
12.31-01.07,恒星组提名-女性组别,中野三玖,五等分的新娘,伊藤美来,-,Nakano Miku,True,https://pic1.imgdb.cn/item/6739613ed29ded1a8c465c2c.png
12.31-01.07,恒星组提名-女性组别,锦木千束,莉可丽丝,安济知佳,-,Nishikigi Chisato,True,https://pic1.imgdb.cn/item/6742b0d888c538a9b5bb4231.png
12.31-01.07,恒星组提名-女性组别,喜多川海梦,更衣人偶坠入爱河,直田姬奈,-,Kitagawa Marin,True,https://pic1.imgdb.cn/item/67418e3fd29ded1a8cd920fd.png
12.31-01.07,恒星组提名-女性组别,千早爱音,BanG Dream!,立石凛,-,Chihaya Anon,True,https://pic1.imgdb.cn/item/6785d828d0e0a243d4f411bd.png
12.31-01.07,恒星组提名-女性组别,长崎爽世,BanG Dream!,小日向美香,-,Nagasaki Soyo,True,https://pic1.imgdb.cn/item/6785d850d0e0a243d4f411cc.png
12.31-01.07,恒星组提名-女性组别,菲伦,葬送的芙莉莲,市之濑加那,-,Fern,True,https://pic1.imgdb.cn/item/6785d861d0e0a243d4f411ce.png
12.31-01.07,恒星组提名-女性组别,丰川祥子,BanG Dream!,高尾奏音,-,Togawa Sakiko,True,https://pic1.imgdb.cn/item/6785d881d0e0a243d4f411d8.png
12.31-01.07,恒星组提名-女性组别,芙莉莲,葬送的芙莉莲,种崎敦美,-,Frieren,True,https://pic1.imgdb.cn/item/6785d898d0e0a243d4f411de.png
12.31-01.07,恒星组提名-女性组别,梓川枫,青春猪头少年,久保由利香,-,Azusagawa Kaede,True,https://pic1.imgdb.cn/item/6785d8b2d0e0a243d4f411e0.png
12.31-01.07,恒星组提名-女性组别,椎名真昼,关于我在无意间被隔壁的天使变成废柴这件事,石见舞菜香,-,Shiina Mahiru,True,https://pic1.imgdb.cn/item/6785d8d6d0e0a243d4f411eb.png
12.31-01.07,恒星组提名-女性组别,绪山真寻,别当欧尼酱了！,高野麻里佳,-,Oyama Mahiro,True,https://pic1.imgdb.cn/item/6785d8f9d0e0a243d4f411f4.png
12.31-01.07,恒星组提名-女性组别,约尔·福杰,间谍过家家,早见沙织,-,Yor Forger,True,https://pic1.imgdb.cn/item/677fbeb6d0e0a243d4f2c994.png
12.31-01.07,恒星组提名-女性组别,高松灯,BanG Dream!,羊宫妃那,-,Takamatsu Tomori,True,https://pic1.imgdb.cn/item/6785d914d0e0a243d4f41202.png
12.31-01.07,恒星组提名-女性组别,阿尼亚·福杰,间谍过家家,种崎敦美,-,Anya Forger,True,https://pic1.imgdb.cn/item/677fba37d0e0a243d4f2c800.png
12.31-01.07,恒星组提名-女性组别,比企谷小町,我的青春恋爱物语果然有问题。,悠木碧,-,Hikigaya Komachi,True,https://pic1.imgdb.cn/item/6785d92ed0e0a243d4f41214.png
12.31-01.07,恒星组提名-女性组别,雪之下阳乃,我的青春恋爱物语果然有问题。,中原麻衣,-,Yukinoshita Haruno,True,https://pic1.imgdb.cn/item/6785d942d0e0a243d4f41220.png
12.31-01.07,恒星组提名-女性组别,双叶理央,青春猪头少年,种崎敦美,-,Futaba Rio,True,https://pic1.imgdb.cn/item/6785d958d0e0a243d4f41226.png
12.31-01.07,恒星组提名-女性组别,星野日向,天使降临到了我身边！,长江里加,-,Hoshino Hinata,True,https://pic1.imgdb.cn/item/6785d987d0e0a243d4f4122c.png
12.31-01.07,恒星组提名-女性组别,白咲花,天使降临到了我身边！,指出毬亚,-,Shirosaki Hana,True,https://pic1.imgdb.cn/item/6785d99ad0e0a243d4f4122e.png
12.31-01.07,恒星组提名-女性组别,星野爱,【我推的孩子】,高桥李依,-,Hoshino Ai,True,https://pic1.imgdb.cn/item/6785d9aed0e0a243d4f41230.png
12.31-01.07,恒星组提名-女性组别,四谷见子,看得见的女孩,雨宫天,-,Yotsuya Miko,True,https://pic1.imgdb.cn/item/6785d9d5d0e0a243d4f41235.png
12.31-01.07,恒星组提名-女性组别,星野瑠美衣,【我推的孩子】,伊驹百合绘,-,Hoshino Ruby,True,https://pic1.imgdb.cn/item/6785d9eed0e0a243d4f41239.png
12.31-01.07,恒星组提名-女性组别,茵蒂克丝,魔法禁书目录,井口裕香,-,Index L. Prohibitorum,True,https://pic1.imgdb.cn/item/6785da38d0e0a243d4f4124b.png
12.31-01.07,恒星组提名-女性组别,千反田爱瑠,冰菓,佐藤聪美,235,Chitanda Eru,False,https://pic1.imgdb.cn/item/678b5cd0d0e0a243d4f5699f.png
12.31-01.07,恒星组提名-女性组别,艾拉,可塑性记忆,雨宫天,215,Isla,False,https://pic1.imgdb.cn/item/673961bad29ded1a8c46ac2a.png
12.31-01.07,恒星组提名-女性组别,时崎狂三,约会大作战,真田麻美,212,Tokisaki Kurumi,False,https://pic1.imgdb.cn/item/67395e40d29ded1a8c440b34.png
12.31-01.07,恒星组提名-女性组别,休比·多拉,NO GAME NO LIFE 游戏人生,茅野爱衣,199,Schwi Dola,False,https://pic1.imgdb.cn/item/677fbc71d0e0a243d4f2c8d3.png
12.31-01.07,恒星组提名-女性组别,田井中律,轻音少女,佐藤聪美,198,Tainaka Ritsu,False,https://pic1.imgdb.cn/item/673b3c52d29ded1a8cb70e5b.png
12.31-01.07,恒星组提名-女性组别,琴吹䌷,轻音少女,寿美菜子,194,Kotobuki Tsumugi,False,https://pic1.imgdb.cn/item/6739b369d29ded1a8c895375.png
12.31-01.07,恒星组提名-女性组别,久石奏,吹响！上低音号,雨宫天,162,Hisaishi Kanade,False,
12.31-01.07,恒星组提名-女性组别,立华奏,Angel Beats!,花泽香菜,157,Tachibana Kanade,False,https://pic1.imgdb.cn/item/673abe88d29ded1a8c43e672.png
12.31-01.07,恒星组提名-女性组别,山田凉,孤独摇滚！,水野朔,152,Yamada Ryō,False,https://pic1.imgdb.cn/item/67396860d29ded1a8c4b2e6b.png
12.31-01.07,恒星组提名-女性组别,伊地知虹夏,孤独摇滚！,铃代纱弓,149,Ijichi Nijika,False,https://pic1.imgdb.cn/item/673abde9d29ded1a8c437a20.png
12.31-01.07,恒星组提名-女性组别,惠惠,为美好的世界献上祝福！,高桥李依,142,Megumin,False,https://pic1.imgdb.cn/item/67404a34d29ded1a8cd26270.png
12.31-01.07,恒星组提名-女性组别,平泽忧,轻音少女,米泽圆,138,Hirasawa Ui,False,
12.31-01.07,恒星组提名-女性组别,白井黑子,魔法禁书目录,新井里美,137,Shirai Kuroko,False,https://pic1.imgdb.cn/item/6736eaa2d29ded1a8c5a7413.png
12.31-01.07,恒星组提名-女性组别,宫园薰,四月是你的谎言,种田梨沙,112,Miyazono Kaori,False,https://pic1.imgdb.cn/item/6742b49688c538a9b5bb432f.png
12.31-01.07,恒星组提名-女性组别,芙蕾德利嘉·罗森菲尔特,86 -不存在的战区-,久野美咲,104,Frederica Rosenfort,False,
12.31-01.07,恒星组提名-女性组别,唐可可,LoveLive!系列,Liyuu,96,Tang Keke,False,
12.31-01.07,恒星组提名-女性组别,中野二乃,五等分的新娘,竹达彩奈,95,Nakano Nino,False,https://pic1.imgdb.cn/item/6744343188c538a9b5bb9e21.png
12.31-01.07,恒星组提名-女性组别,灰原哀,名侦探柯南,林原惠,91,Haibara Ai,False,https://pic1.imgdb.cn/item/6741a7eed29ded1a8cf033ab.png
12.31-01.07,恒星组提名-女性组别,丹生谷森夏,中二病也要谈恋爱！,赤崎千夏,89,Nibutani Shinka,False,
12.31-01.07,恒星组提名-女性组别,古河渚,CLANNAD,中原麻衣,85,Furukawa Nagisa,False,https://pic1.imgdb.cn/item/67419468d29ded1a8cddcff0.png
12.31-01.07,恒星组提名-女性组别,牧濑红莉栖,命运石之门,今井麻美,84,Makise Kurisu,False,https://pic1.imgdb.cn/item/67395e28d29ded1a8c43f6d9.png
12.31-01.07,恒星组提名-女性组别,由比滨结衣,我的青春恋爱物语果然有问题。,东山奈央,82,Yuigahama Yui,False,https://pic1.imgdb.cn/item/673a94bdd29ded1a8c251eee.png
12.31-01.07,恒星组提名-女性组别,凉宫春日,凉宫春日的忧郁,平野绫,81,Suzumiya Haruhi,False,https://pic1.imgdb.cn/item/67418d25d29ded1a8cd84d64.png
12.31-01.07,恒星组提名-女性组别,逢坂大河,龙与虎,钉宫理惠,80,Aisaka Taiga,False,https://pic1.imgdb.cn/item/6742aa2888c538a9b5bb4148.png
12.31-01.07,恒星组提名-女性组别,中野四叶,五等分的新娘,佐仓绫音,78,Nakano Yotsuba,False,
12.31-01.07,恒星组提名-女性组别,中野五月,五等分的新娘,水濑祈,78,Nakano Itsuki,False,https://pic1.imgdb.cn/item/677fbcc8d0e0a243d4f2c900.png
12.31-01.07,恒星组提名-女性组别,凸守早苗,中二病也要谈恋爱！,上坂堇,75,Dekomori Sanae,False,
12.31-01.07,恒星组提名-女性组别,伊原摩耶花,冰菓,茅野爱衣,74,Ibara Mayaka,False,
12.31-01.07,恒星组提名-女性组别,可蕾娜·库克米拉,86 -不存在的战区-,铃代纱弓,72,Kurena Kukumila,False,
12.31-01.07,恒星组提名-女性组别,和泉纱雾,埃罗芒阿老师,藤田茜,71,Izumi Sagiri,False,https://pic1.imgdb.cn/item/6739684cd29ded1a8c4b1e5e.png
12.31-01.07,恒星组提名-女性组别,安琪·艾玛,86 -不存在的战区-,早见沙织,70,Anju Emma,False,
12.31-01.07,恒星组提名-女性组别,宫水三叶,你的名字。,上白石萌音,68,Miyamizu Mitsuha,False,https://pic1.imgdb.cn/item/67395e68d29ded1a8c4429ed.png
12.31-01.07,恒星组提名-女性组别,井之上泷奈,莉可丽丝,若山诗音,67,Inoue Takina,False,https://pic1.imgdb.cn/item/673abe6ed29ded1a8c43cd2d.png
12.31-01.07,恒星组提名-女性组别,高木,擅长捉弄的高木同学,高桥李依,67,Takagi,False,https://pic1.imgdb.cn/item/67411d35d29ded1a8c6a5568.png
12.31-01.07,恒星组提名-女性组别,五更琉璃,我的妹妹哪有这么可爱！,花泽香菜,67,Gokō Ruri,False,https://pic1.imgdb.cn/item/677fbd7dd0e0a243d4f2c934.png
12.31-01.07,恒星组提名-女性组别,两仪式,空之境界,坂本真绫,67,Ryōgi Shiki,False,
12.31-01.07,恒星组提名-女性组别,有马加奈,【我推的孩子】,潘惠美,65,Arima Kana,False,
12.31-01.07,恒星组提名-女性组别,由崎司,总之就是非常可爱,鬼头明里,64,Yuzaki Tsukasa,False,https://pic1.imgdb.cn/item/6741ad7bd29ded1a8cf60d88.png
12.31-01.07,恒星组提名-女性组别,五河琴里,约会大作战,竹达彩奈,64,Itsuka Kotori,False,https://pic1.imgdb.cn/item/673be110d29ded1a8c2750be.png
12.31-01.07,恒星组提名-女性组别,山田杏奈,我心里危险的东西,羊宫妃那,63,Yamada Anna,False,
12.31-01.07,恒星组提名-女性组别,尼禄·克劳狄乌斯,Fate系列,丹下樱,63,Nero Claudius,False,
12.31-01.07,恒星组提名-女性组别,春日野穹,缘之空,田口宏子,62,Kasugano Sora,False,https://pic1.imgdb.cn/item/673aa700d29ded1a8c30cdf0.png
12.31-01.07,恒星组提名-女性组别,鹿目圆,魔法少女小圆,悠木碧,62,Kaname Madoka,False,https://pic1.imgdb.cn/item/6735f305d29ded1a8cade1ab.png
12.31-01.07,恒星组提名-女性组别,四宫辉夜,辉夜大小姐想让我告白～天才们的恋爱头脑战～,古贺葵,61,Shinomiya Kaguya,False,https://pic1.imgdb.cn/item/6739b53ed29ded1a8c8aae29.png
12.31-01.07,恒星组提名-女性组别,远坂凛,Fate系列,植田佳奈,60,Tōsaka Rin,False,https://pic1.imgdb.cn/item/673961a9d29ded1a8c46a1f0.png
12.31-01.07,恒星组提名-女性组别,天野阳菜,天气之子,森七菜,60,Amano Hina,False,https://pic1.imgdb.cn/item/677fbca6d0e0a243d4f2c8f5.png
12.31-01.07,恒星组提名-女性组别,晓美焰,魔法少女小圆,斋藤千和,59,Akemi Homura,False,https://pic1.imgdb.cn/item/674086b0d29ded1a8c07b0d0.png
12.31-01.07,恒星组提名-女性组别,阿尔托莉雅·潘德拉贡,Fate系列,川澄绫子,57,Saber,False,https://pic1.imgdb.cn/item/6739c600d29ded1a8c978285.png
12.31-01.07,恒星组提名-女性组别,泉此方,幸运☆星,平野绫,56,Izumi Konata,False,https://pic1.imgdb.cn/item/674138ded29ded1a8c82004e.png
12.31-01.07,恒星组提名-女性组别,东海帝王,赛马娘 Pretty Derby,Machico,55,Tokai Teio,False,https://pic1.imgdb.cn/item/67419ca3d29ded1a8ce4ecc8.png
12.31-01.07,恒星组提名-女性组别,珂朵莉·诺塔·瑟尼欧里斯,末日时在做什么？有没有空？可以来拯救吗？,田所梓,55,Chtholly Nota Seniorious,False,https://pic1.imgdb.cn/item/67413954d29ded1a8c8270bd.png
12.31-01.07,恒星组提名-女性组别,02,Darling in the FranXX,户松遥,55,Zero Two,False,
12.31-01.07,恒星组提名-女性组别,中野一花,五等分的新娘,花泽香菜,53,Nakano Ichika,False,
12.31-01.07,恒星组提名-女性组别,西宫硝子,声之形,早见沙织,52,Nishimiya Shōko,False,https://pic1.imgdb.cn/item/673abe15d29ded1a8c439492.png
12.31-01.07,恒星组提名-女性组别,青山七海,樱花庄的宠物女孩,中津真莉,52,Aoyama Nanami,False,
12.31-01.07,恒星组提名-女性组别,长门有希,凉宫春日的忧郁,茅原实里,51,Nagato Yuki,False,https://pic1.imgdb.cn/item/674138bbd29ded1a8c81e277.png
12.31-01.07,恒星组提名-女性组别,佐仓千代,月刊少女野崎君,小泽亚李,50,Sakura Chiyo,False,
12.31-01.07,恒星组提名-女性组别,泽村·斯潘塞·英梨梨,路人女主的养成方法,大西沙织,44,Sawamura Spencer Eriri,False,https://pic1.imgdb.cn/item/677fbddad0e0a243d4f2c966.png
12.31-01.07,恒星组提名-女性组别,猫猫,药屋少女的呢喃,悠木碧,43,Maomao,False,
12.31-01.07,恒星组提名-女性组别,黑川茜,【我推的孩子】,石见舞菜香,43,Kurokawa Akane,False,
12.31-01.07,恒星组提名-女性组别,铠冢霙,吹响！上低音号,种崎敦美,42,Yoroizuka Mizore,False,https://pic1.imgdb.cn/item/67408d6cd29ded1a8c0d1f24.png
12.31-01.07,恒星组提名-女性组别,一色伊吕波,我的青春恋爱物语果然有问题。,佐仓绫音,42,Isshiki Iroha,False,https://pic1.imgdb.cn/item/6741390dd29ded1a8c822b9c.png
12.31-01.07,恒星组提名-女性组别,绫波丽,新世纪福音战士,林原惠,41,Ayanami Rei,False,https://pic1.imgdb.cn/item/67419547d29ded1a8cde6dfe.png
12.31-01.07,恒星组提名-女性组别,惣流·明日香·兰格雷,新世纪福音战士,宫村优子,40,Sōryū Asuka Langley,False,https://pic1.imgdb.cn/item/673a9839d29ded1a8c27348b.png
