角色名,角色英文名,作品名,图片文件名,图片路径
安昙小太郎,azumi kotaro,月色真美,azumi kotaro.png,https://international.saimoe.website/static/img/isml/avatar/small/azumi_kotaro.png
渚薰,nagisa kaworu,新世纪福音战士,nagisa kaworu.png,https://international.saimoe.website/static/img/isml/avatar/small/nagisa_kaworu1.png
的场静司,matoba seiji,夏目友人帐,matoba seiji.png,https://international.saimoe.website/static/img/isml/avatar/small/matoba_seiji.png
立花泷,tachibana taki,你的名字。,tachibana taki.png,https://international.saimoe.website/static/img/isml/avatar/small/tachibana_taki.png
黑,hei,黑之契约者,hei.png,https://international.saimoe.website/static/img/isml/avatar/small/hei.png
赤坂龙之介,akasaka ryunosuke,樱花庄的宠物女孩,akasaka ryunosuke.png,https://international.saimoe.website/static/img/isml/avatar/small/akasaka_ryunosuke.png
桐谷和人,kirigaya kazuto,刀剑神域,kirigaya kazuto.png,https://international.saimoe.website/static/img/isml/avatar/small/kirigaya_kazuto1.png
江户川柯南,edogawa conan,名侦探柯南,edogawa conan.png,https://international.saimoe.website/static/img/isml/avatar/small/edogawa_conan.png
安室透,amuro toru,名侦探柯南,amuro toru.png,https://international.saimoe.website/static/img/isml/avatar/small/amuro_toru.png
网代慎平,ajiro shinpei,夏日重现,ajiro shinpei.png,https://international.saimoe.website/static/img/isml/avatar/small/ajiro_shinpei.png
鲁路修·兰佩洛基,lelouch lamperouge,Code Geass,lelouch lamperouge.png,https://international.saimoe.website/static/img/isml/avatar/small/lelouch_lamperouge1.png
爱城恋太郎,aijo rentaro,超超超超超喜欢你的100个女朋友,aijo rentaro.png,https://international.saimoe.website/static/img/isml/avatar/small/aijo_rentaro.png
石上优,ishigami yu,辉夜大小姐想让我告白～天才们的恋爱头脑战～,ishigami yu.png,https://international.saimoe.website/static/img/isml/avatar/small/ishigami_yu.png
由崎星空,yuzaki nasa,总之就是非常可爱,yuzaki nasa.png,https://international.saimoe.website/static/img/isml/avatar/small/yuzaki_nasa.png
福部里志,fukube satoshi,冰菓,fukube satoshi.png,https://international.saimoe.website/static/img/isml/avatar/small/fukube_satoshi1.png
和泉正宗,izumi masamune,埃罗芒阿老师,izumi masamune.png,https://international.saimoe.website/static/img/isml/avatar/small/izumi_masamune.png
藤宫周,fujimiya amane,关于我在无意间被隔壁的天使变成废柴这件事,fujimiya amane.png,https://international.saimoe.website/static/img/isml/avatar/small/fujimiya_amane.png
辛美尔,himmel,葬送的芙莉莲,himmel.png,https://international.saimoe.website/static/img/isml/avatar/small/himmel.png
野比大雄,nobi nobita,哆啦A梦,nobi nobita.png,https://international.saimoe.website/static/img/isml/avatar/small/nobi_nobita.png
市川京太郎,ichikawa kyotaro,我心里危险的东西,ichikawa kyotaro.png,https://international.saimoe.website/static/img/isml/avatar/small/ichikawa_kyotaro.png
木下秀吉,kinoshita hideyoshi,笨蛋、测验、召唤兽,kinoshita hideyoshi.png,https://international.saimoe.website/static/img/isml/avatar/small/kinoshita_hideyoshi1.png
服部平次,hattori heiji,名侦探柯南,hattori heiji.png,https://international.saimoe.website/static/img/isml/avatar/small/hattori_heiji.png
音无结弦,otonashi yuzuru,Angel Beats!,otonashi yuzuru.png,https://international.saimoe.website/static/img/isml/avatar/small/otonashi_yuzuru.png
海塔,heiter,葬送的芙莉莲,heiter.png,https://international.saimoe.website/static/img/isml/avatar/small/heiter.png
艾泽,eisen,葬送的芙莉莲,eisen.png,https://international.saimoe.website/static/img/isml/avatar/small/eisen.png
大路饼藏,oji mochizo,玉子市场,oji mochizo.png,https://international.saimoe.website/static/img/isml/avatar/small/oji_mochizo1.png
广,hiro,Darling in the FranXX,hiro.png,https://international.saimoe.website/static/img/isml/avatar/small/hiro.png
麻中蓬,asanaka yomogi,SSSS.DYNAZENON,asanaka yomogi.png,https://international.saimoe.website/static/img/isml/avatar/small/asanaka_yomogi.png
国崎往人,kunisaki yukito,AIR,kunisaki yukito.png,https://international.saimoe.website/static/img/isml/avatar/small/kunisaki_yukito.png
内卷昴,uchimaki subaru,这个美术社大有问题！,uchimaki subaru.png,https://international.saimoe.website/static/img/isml/avatar/small/uchimaki_subaru.png
影山飞雄,kageyama tobio,排球少年！！,kageyama tobio.png,https://international.saimoe.website/static/img/isml/avatar/small/kageyama_tobio.png
赤井秀一,akai shuichi,名侦探柯南,akai shuichi.png,https://international.saimoe.website/static/img/isml/avatar/small/akai_shuichi.png
冈崎朋也,okazaki tomoya,CLANNAD,okazaki tomoya.png,https://international.saimoe.website/static/img/isml/avatar/small/okazaki_tomoya.png
一条乐,ichijo raku,伪恋,ichijo raku.png,https://international.saimoe.website/static/img/isml/avatar/small/ichijo_raku1.png
高须龙儿,takasu ryuji,龙与虎,takasu ryuji.png,https://international.saimoe.website/static/img/isml/avatar/small/takasu_ryuji.png
枣恭介,natsume kyosuke,Little Busters!,natsume kyosuke.png,https://international.saimoe.website/static/img/isml/avatar/small/natsume_kyosuke.png
有马公生,arima kosei,四月是你的谎言,arima kosei.png,https://international.saimoe.website/static/img/isml/avatar/small/arima_kosei.png
五条新菜,gojo wakana,更衣人偶坠入爱河,gojo wakana.png,https://international.saimoe.website/static/img/isml/avatar/small/gojo_wakana.png
石神千空,ishigami senku,Dr.STONE 石纪元,ishigami senku.png,https://international.saimoe.website/static/img/isml/avatar/small/ishigami_senku.png
夜斗,yato,野良神,yato.png,https://international.saimoe.website/static/img/isml/avatar/small/yato.png
犬夜叉,inuyasha,犬夜叉,inuyasha.png,https://international.saimoe.website/static/img/isml/avatar/small/inuyasha.png
夏目贵志,natsume takashi,夏目友人帐,natsume takashi.png,https://international.saimoe.website/static/img/isml/avatar/small/natsume_takashi.png
漩涡鸣人,uzumaki naruto,火影忍者,uzumaki naruto.png,https://international.saimoe.website/static/img/isml/avatar/small/uzumaki_naruto1.png
森岛帆高,morishima hodaka,天气之子,morishima hodaka.png,https://international.saimoe.website/static/img/isml/avatar/small/morishima_hodaka.png
利威尔,levi,进击的巨人,levi.png,https://international.saimoe.website/static/img/isml/avatar/small/levi.png
塔兹米,tatsumi,斩·赤红之瞳！,tatsumi.png,https://international.saimoe.website/static/img/isml/avatar/small/tatsumi1.png
日向翔阳,hinata shoyo,排球少年！！,hinata shoyo.png,https://international.saimoe.website/static/img/isml/avatar/small/hinata_shoyo.png
我妻善逸,agatsuma zenitsu,鬼灭之刃,agatsuma zenitsu.png,https://international.saimoe.website/static/img/isml/avatar/small/agatsuma_zenitsu.png
威廉·克梅修,willem kmetsch,末日时在做什么？有没有空？可以来拯救吗？,willem kmetsch.png,https://international.saimoe.website/static/img/isml/avatar/small/willem_kmetsch.png
劳伦斯,lawrence,白圣女与黑牧师,lawrence.png,https://international.saimoe.website/static/img/isml/avatar/small/lawrence.png
金木研,kaneki ken,东京食尸鬼,kaneki ken.png,https://international.saimoe.website/static/img/isml/avatar/small/kaneki_ken1.png
佐藤和真,sato kazuma,为美好的世界献上祝福！,sato kazuma.png,https://international.saimoe.website/static/img/isml/avatar/small/sato_kazuma.png
杀生丸,sesshomaru,犬夜叉,sesshomaru.png,https://international.saimoe.website/static/img/isml/avatar/small/sesshomaru1.png
卫宫,archer,Fate系列,archer.png,https://international.saimoe.website/static/img/isml/avatar/small/archer.png
神原秋人,kanbara akihito,境界的彼方,kanbara akihito.png,https://international.saimoe.website/static/img/isml/avatar/small/kanbara_akihito1.png
上杉风太郎,uesugi futaro,五等分的新娘,uesugi futaro.png,https://international.saimoe.website/static/img/isml/avatar/small/uesugi_futaro.png
野原新之助,nohara shinnosuke,蜡笔小新,nohara shinnosuke.png,https://international.saimoe.website/static/img/isml/avatar/small/nohara_shinnosuke.png
基尔伯特·布甘比利亚,gilbert bougainvillea,紫罗兰永恒花园,gilbert bougainvillea.png,https://international.saimoe.website/static/img/isml/avatar/small/gilbert_bougainvillea.png
春日野悠,kasugano haruka,缘之空,kasugano haruka.png,https://international.saimoe.website/static/img/isml/avatar/small/kasugano_haruka1.png
白血球(U-1146),neutrophil u-,工作细胞,neutrophil u-.png,https://international.saimoe.website/static/img/isml/avatar/small/neutrophil_u-1146.png
绫小路清隆,ayanokoji kiyotaka,欢迎来到实力至上主义的教室,ayanokoji kiyotaka.png,https://international.saimoe.website/static/img/isml/avatar/small/ayanokoji_kiyotaka.png
樱满集,oma shu,罪恶王冠,oma shu.png,https://international.saimoe.website/static/img/isml/avatar/small/oma_shu.png
灵幻新隆,reigen arataka,路人超能100,reigen arataka.png,https://international.saimoe.website/static/img/isml/avatar/small/reigen_arataka.png
赛欧特·利迦,theoto rikka,86 -不存在的战区-,theoto rikka.png,https://international.saimoe.website/static/img/isml/avatar/small/theoto_rikka.png
蓝染惣右介,aizen sosuke,BLEACH,aizen sosuke.png,https://international.saimoe.website/static/img/isml/avatar/small/aizen_sosuke.png
牧野神奈,makino kanna,玉子市场,makino kanna.png,https://international.saimoe.website/static/img/isml/avatar/small/makino_kanna.png
平泽忧,hirasawa ui,轻音少女,hirasawa ui.png,https://international.saimoe.website/static/img/isml/avatar/small/hirasawa_ui.png
优木雪菜,yuki setsuna,LoveLive!系列,yuki setsuna.png,https://international.saimoe.website/static/img/isml/avatar/small/yuki_setsuna.png
星野日向,hoshino hinata,天使降临到了我身边！,hoshino hinata.png,https://international.saimoe.website/static/img/isml/avatar/small/hoshino_hinata.png
唐可可,tang keke,LoveLive!系列,tang keke.png,https://international.saimoe.website/static/img/isml/avatar/small/tang_keke.png
楪祈,yuzuriha inori,罪恶王冠,yuzuriha inori.png,https://international.saimoe.website/static/img/isml/avatar/small/yuzuriha_inori.png
椎名真昼,shiina mahiru,关于我在无意间被隔壁的天使变成废柴这件事,shiina mahiru.png,https://international.saimoe.website/static/img/isml/avatar/small/shiina_mahiru.png
长门有希,nagato yuki,凉宫春日的忧郁,nagato yuki.png,https://international.saimoe.website/static/img/isml/avatar/small/nagato_yuki.png
平泽唯,hirasawa yui,轻音少女,hirasawa yui.png,https://international.saimoe.website/static/img/isml/avatar/small/hirasawa_yui.png
樱岛麻衣,sakurajima mai,青春猪头少年,sakurajima mai.png,https://international.saimoe.website/static/img/isml/avatar/small/sakurajima_mai.png
香风智乃,kafu chino,请问您今天要来点兔子吗？,kafu chino.png,https://international.saimoe.website/static/img/isml/avatar/small/kafu_chino.png
两仪式,ryogi shiki,空之境界,ryogi shiki.png,https://international.saimoe.website/static/img/isml/avatar/small/ryogi_shiki1.png
阿尔托莉雅·潘德拉贡,saber,Fate系列,saber.png,https://international.saimoe.website/static/img/isml/avatar/small/saber.png
后藤一里,goto hitori,孤独摇滚！,goto hitori.png,https://international.saimoe.website/static/img/isml/avatar/small/goto_hitori.png
立华奏,tachibana kanade,Angel Beats!,tachibana kanade.png,https://international.saimoe.website/static/img/isml/avatar/small/tachibana_kanade1.png
比企谷小町,hikigaya komachi,我的青春恋爱物语果然有问题。,hikigaya komachi.png,https://international.saimoe.website/static/img/isml/avatar/small/hikigaya_komachi1.png
古河渚,furukawa nagisa,CLANNAD,furukawa nagisa.png,https://international.saimoe.website/static/img/isml/avatar/small/furukawa_nagisa.png
藤原千花,fujiwara chika,辉夜大小姐想让我告白～天才们的恋爱头脑战～,fujiwara chika.png,https://international.saimoe.website/static/img/isml/avatar/small/fujiwara_chika.png
伞木希美,kasaki nozomi,吹响！上低音号,kasaki nozomi.png,https://international.saimoe.website/static/img/isml/avatar/small/kasaki_nozomi.png
02,zero two,Darling in the FranXX,zero two.png,https://international.saimoe.website/static/img/isml/avatar/small/zero_two1.png
千斗五十铃,sento isuzu,甘城光辉游乐园,sento isuzu.png,https://international.saimoe.website/static/img/isml/avatar/small/sento_isuzu.png
逢坂大河,aisaka taiga,龙与虎,aisaka taiga.png,https://international.saimoe.website/static/img/isml/avatar/small/aisaka_taiga.png
安琪·艾玛,anju emma,86 -不存在的战区-,anju emma.png,https://international.saimoe.website/static/img/isml/avatar/small/anju_emma.png
喜多川海梦,kitagawa marin,更衣人偶坠入爱河,kitagawa marin.png,https://international.saimoe.website/static/img/isml/avatar/small/kitagawa_marin.png
白咲花,shirosaki hana,天使降临到了我身边！,shirosaki hana.png,https://international.saimoe.website/static/img/isml/avatar/small/shirosaki_hana.png
绫波丽,ayanami rei,新世纪福音战士,ayanami rei.png,https://international.saimoe.website/static/img/isml/avatar/small/ayanami_rei.png
伊原摩耶花,ibara mayaka,冰菓,ibara mayaka.png,https://international.saimoe.website/static/img/isml/avatar/small/ibara_mayaka1.png
凸守早苗,dekomori sanae,中二病也要谈恋爱！,dekomori sanae.png,https://international.saimoe.website/static/img/isml/avatar/small/dekomori_sanae.png
茵蒂克丝,index l prohibitorum,魔法禁书目录,index l prohibitorum.png,https://international.saimoe.website/static/img/isml/avatar/small/index_l_prohibitorum.png
休比·多拉,schwi dola,NO GAME NO LIFE 游戏人生,schwi dola.png,https://international.saimoe.website/static/img/isml/avatar/small/schwi_dola1.png
秋山澪,akiyama mio,轻音少女,akiyama mio.png,https://international.saimoe.website/static/img/isml/avatar/small/akiyama_mio1.png
绪山真寻,oyama mahiro,别当欧尼酱了！,oyama mahiro.png,https://international.saimoe.website/static/img/isml/avatar/small/oyama_mahiro.png
青山七海,aoyama nanami,樱花庄的宠物女孩,aoyama nanami.png,https://international.saimoe.website/static/img/isml/avatar/small/aoyama_nanami.png
惠惠,megumin,为美好的世界献上祝福！,megumin.png,https://international.saimoe.website/static/img/isml/avatar/small/megumin.png
时崎狂三,tokisaki kurumi,约会大作战,tokisaki kurumi.png,https://international.saimoe.website/static/img/isml/avatar/small/tokisaki_kurumi.png
芙蕾德利嘉·罗森菲尔特,frederica rosenfort,86 -不存在的战区-,frederica rosenfort.png,https://international.saimoe.website/static/img/isml/avatar/small/frederica_rosenfort.png
初音未来,hatsune miku,VOCALOID,hatsune miku.png,https://international.saimoe.website/static/img/isml/avatar/small/hatsune_miku1.png
丹生谷森夏,nibutani shinka,中二病也要谈恋爱！,nibutani shinka.png,https://international.saimoe.website/static/img/isml/avatar/small/nibutani_shinka1.png
七宫智音,shichimiya satone,中二病也要谈恋爱！,shichimiya satone.png,https://international.saimoe.website/static/img/isml/avatar/small/shichimiya_satone1.png
四宫辉夜,shinomiya kaguya,辉夜大小姐想让我告白～天才们的恋爱头脑战～,shinomiya kaguya.png,https://international.saimoe.website/static/img/isml/avatar/small/shinomiya_kaguya.png
若叶睦,wakaba mutsumi,BanG Dream!,wakaba mutsumi.png,https://international.saimoe.website/static/img/isml/avatar/small/wakaba_mutsumi.png
黑川茜,kurokawa akane,【我推的孩子】,kurokawa akane.png,https://international.saimoe.website/static/img/isml/avatar/small/kurokawa_akane.png
小鸟游六花,takanashi rikka,中二病也要谈恋爱！,takanashi rikka.png,https://international.saimoe.website/static/img/isml/avatar/small/takanashi_rikka.png
菲伦,fern,葬送的芙莉莲,fern.png,https://international.saimoe.website/static/img/isml/avatar/small/fern.png
渡边曜,watanabe yo,LoveLive!系列,watanabe yo.png,https://international.saimoe.website/static/img/isml/avatar/small/watanabe_yo.png
五更琉璃,goko ruri,我的妹妹哪有这么可爱！,goko ruri.png,https://international.saimoe.website/static/img/isml/avatar/small/goko_ruri1.png
见崎鸣,misaki mei,Another,misaki mei.png,https://international.saimoe.website/static/img/isml/avatar/small/misaki_mei1.png
爱蜜莉雅,emilia,Re:从零开始的异世界生活,emilia.png,https://international.saimoe.website/static/img/isml/avatar/small/emilia.png
堀京子,hori kyoko,堀与宫村,hori kyoko.png,https://international.saimoe.website/static/img/isml/avatar/small/hori_kyoko.png
洛琪希·米格路迪亚,roxy migurdia,无职转生,roxy migurdia.png,https://international.saimoe.website/static/img/isml/avatar/small/roxy_migurdia.png
猫猫,maomao,药屋少女的呢喃,maomao.png,https://international.saimoe.website/static/img/isml/avatar/small/maomao.png
惣流·明日香·兰格雷,soryu asuka langley,新世纪福音战士,soryu asuka langley.png,https://international.saimoe.website/static/img/isml/avatar/small/soryu_asuka_langley.png
鹿目圆,kaname madoka,魔法少女小圆,kaname madoka.png,https://international.saimoe.website/static/img/isml/avatar/small/kaname_madoka.png
珂朵莉·诺塔·瑟尼欧里斯,chtholly nota seniorious,末日时在做什么？有没有空？可以来拯救吗？,chtholly nota seniorious.png,https://international.saimoe.website/static/img/isml/avatar/small/chtholly_nota_seniorious1.png
晓美焰,akemi homura,魔法少女小圆,akemi homura.png,https://international.saimoe.website/static/img/isml/avatar/small/akemi_homura.png
阿尼亚·福杰,anya forger,间谍过家家,anya forger.png,https://international.saimoe.website/static/img/isml/avatar/small/anya_forger.png
星野瑠美衣,hoshino rubii,【我推的孩子】,hoshino rubii.png,https://international.saimoe.website/static/img/isml/avatar/small/hoshino_rubii.png
锦木千束,nishikigi chisato,莉可丽丝,nishikigi chisato.png,https://international.saimoe.website/static/img/isml/avatar/small/nishikigi_chisato.png
椎名真白,shiina mashiro,樱花庄的宠物女孩,shiina mashiro.png,https://international.saimoe.website/static/img/isml/avatar/small/shiina_mashiro.png
宫水三叶,miyamizu mitsuha,你的名字。,miyamizu mitsuha.png,https://international.saimoe.website/static/img/isml/avatar/small/miyamizu_mitsuha.png
久石奏,hisaishi kanade,吹响！上低音号,hisaishi kanade.png,https://international.saimoe.website/static/img/isml/avatar/small/hisaishi_kanade.png
凉宫春日,suzumiya haruhi,凉宫春日的忧郁,suzumiya haruhi.png,https://international.saimoe.website/static/img/isml/avatar/small/suzumiya_haruhi.png
